Time[s], Motor_J17_P1, MPF_J23_P2, PaperIn_J27_P5, Duplex_J27_P2, Exit_J14_P2, Narrow_J11_P2, Channel 6, Channel 7
-0.416666666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.011757291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.020570250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.027824041666667, 0, 1, 1, 1, 1, 1, 1, 1
0.034926666666667, 1, 1, 1, 1, 1, 1, 1, 1
0.041359833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.047889166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.053693416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.059728291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.065295125000000, 0, 1, 1, 1, 1, 1, 1, 1
0.071072541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.076412416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.081914250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.087072875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.092382583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.097342291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.102528208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.107237291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.112196666666667, 1, 1, 1, 1, 1, 1, 1, 1
0.116812041666667, 0, 1, 1, 1, 1, 1, 1, 1
0.121689291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.126256750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.130974291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.135427291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.140068458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.144442875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.149004500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.153171833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.157592708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.161719166666667, 0, 1, 1, 1, 1, 1, 1, 1
0.166101708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.170194083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.174449541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.178476500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.182686833333333, 1, 1, 1, 1, 1, 1, 1, 1
0.186645083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.190796541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.194594000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.198637291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.202426083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.206442291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.210204625000000, 0, 1, 1, 1, 1, 1, 1, 1
0.214126541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.217839125000000, 0, 1, 1, 1, 1, 1, 1, 1
0.221729416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.225398833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.229252625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.232779791666667, 0, 1, 1, 1, 1, 1, 1, 1
0.236532125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.240045791666667, 0, 1, 1, 1, 1, 1, 1, 1
0.243788208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.247294375000000, 0, 1, 1, 1, 1, 1, 1, 1
