Time[s], Motor_J17_P1, MPF_J23_P2, PaperIn_J27_P5, Duplex_J27_P2, Exit_J14_P2, Narrow_J11_P2, Channel 6, Channel 7
-0.416666666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.011700583333333, 0, 1, 1, 1, 1, 1, 1, 1
0.020518166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.027756333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.034859916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.041136208333333, 0, 1, 1, 1, 1, 1, 1, 1
0.047599500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.053465458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.059547166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.065156958333333, 0, 1, 1, 1, 1, 1, 1, 1
0.070867541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.076195666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.081685333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.086800666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.092096708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.096897541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.101956708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.106656166666667, 0, 1, 1, 1, 1, 1, 1, 1
0.111590375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.116194125000000, 0, 1, 1, 1, 1, 1, 1, 1
0.120959791666667, 1, 1, 1, 1, 1, 1, 1, 1
0.125458958333333, 0, 1, 1, 1, 1, 1, 1, 1
0.130124166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.134496750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.139085250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.143280708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.147726625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.151870458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.156262166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.160377666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.164675500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.168733041666667, 0, 1, 1, 1, 1, 1, 1, 1
0.172957375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.176939708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.181129291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.184966583333333, 0, 1, 1, 1, 1, 1, 1, 1
0.189037916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.192841625000000, 0, 1, 1, 1, 1, 1, 1, 1
0.196885333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.200679833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.204642541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.208394125000000, 0, 1, 1, 1, 1, 1, 1, 1
0.212308583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.215998000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.219884416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.223454166666667, 0, 1, 1, 1, 1, 1, 1, 1
0.227242375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.230789916666667, 0, 1, 1, 1, 1, 1, 1, 1
0.234555916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.238095708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.241793250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.245298500000000, 0, 1, 1, 1, 1, 1, 1, 1
