Time[s], Motor_J17_P1, MPF_J23_P2, PaperIn_J27_P5, Duplex_J27_P2, Exit_J14_P2, Narrow_J11_P2, Channel 6, Channel 7
-0.416666666666667, 1, 1, 1, 1, 1, 1, 1, 1
-0.011272791666667, 0, 1, 1, 1, 1, 1, 1, 1
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.008128291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.015685750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.022244458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.028966541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.035049375000000, 0, 1, 1, 1, 1, 1, 1, 1
0.041323125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.047098416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.053012583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.058507708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.064156041666667, 1, 1, 1, 1, 1, 1, 1, 1
0.069434291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.074900750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.079856416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.085079541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.089935125000000, 0, 1, 1, 1, 1, 1, 1, 1
0.095038083333333, 1, 1, 1, 1, 1, 1, 1, 1
0.099783333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.104697125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.109335208333333, 0, 1, 1, 1, 1, 1, 1, 1
0.114135916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.118627291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.123324875000000, 1, 1, 1, 1, 1, 1, 1, 1
0.127605250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.132150333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.136375666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.140840500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.145025666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.149381041666667, 1, 1, 1, 1, 1, 1, 1, 1
0.153496833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.157780250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.161817833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.166055333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.169945416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.174065708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.177919833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.182008500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.185850541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.189862750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.193657750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.197617541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.201354458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.205288291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.208905625000000, 0, 1, 1, 1, 1, 1, 1, 1
0.212743291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.216339416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.220152500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.223745000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.227486916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.231048500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.234761291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.238264416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.241950208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.245332541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.248943541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.252321833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.255908791666667, 1, 1, 1, 1, 1, 1, 1, 1
0.259283500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.262806125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.266148250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.269655458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.272965541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.276443916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.279630708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.283037583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.286225458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.289628208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.292819666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.296153125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.299317250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.302627250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.305758958333333, 0, 1, 1, 1, 1, 1, 1, 1
0.309066208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.312095791666667, 0, 1, 1, 1, 1, 1, 1, 1
0.315326458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.318354583333333, 0, 1, 1, 1, 1, 1, 1, 1
0.321579250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.324614875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.327791375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.330816458333333, 0, 1, 1, 1, 1, 1, 1, 1
0.333979000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.336967291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.340119041666667, 1, 1, 1, 1, 1, 1, 1, 1
0.343018875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.346108000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.349015333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.352107375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.355013333333333, 0, 1, 1, 1, 1, 1, 1, 1
0.358056000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.360943000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.363976750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.366840083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.369872750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.372645125000000, 0, 1, 1, 1, 1, 1, 1, 1
0.375614625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.378394000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.381361416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.384153500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.387076791666667, 1, 1, 1, 1, 1, 1, 1, 1
0.389862166666667, 0, 1, 1, 1, 1, 1, 1, 1
0.392779625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.395536416666667, 0, 1, 1, 1, 1, 1, 1, 1
0.398445833333333, 1, 1, 1, 1, 1, 1, 1, 1
0.401119750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.403976166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.406654375000000, 0, 1, 1, 1, 1, 1, 1, 1
0.409525208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.412220041666667, 0, 1, 1, 1, 1, 1, 1, 1
0.415041625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.417720750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.420537416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.423197083333333, 0, 1, 1, 1, 1, 1, 1, 1
0.426007666666667, 1, 1, 1, 1, 1, 1, 1, 1
0.428595833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.431360875000000, 1, 1, 1, 1, 1, 1, 1, 1
0.433949875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.436716500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.439298125000000, 0, 1, 1, 1, 1, 1, 1, 1
0.442035250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.444678833333333, 0, 1, 1, 1, 1, 1, 1, 1
0.447455291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.450064875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.452842333333333, 1, 1, 1, 1, 1, 1, 1, 1
