Time[s], Motor_J17_P1, MPF_J23_P2, PaperIn_J27_P5, Duplex_J27_P2, Exit_J14_P2, Narrow_J11_P2, Channel 6, Channel 7
0.258701833333333, 1, 1, 1, 1, 1, 1, 1, 1
0.262172708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.265789916666667, 1, 1, 1, 1, 1, 1, 1, 1
0.269230875000000, 0, 1, 1, 1, 1, 1, 1, 1
0.272832166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.276235541666667, 0, 1, 1, 1, 1, 1, 1, 1
0.279815250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.283101375000000, 0, 1, 1, 1, 1, 1, 1, 1
0.286604500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.289885916666667, 0, 1, 1, 1, 1, 1, 1, 1
0.293390875000000, 1, 1, 1, 1, 1, 1, 1, 1
0.296681583333333, 0, 1, 1, 1, 1, 1, 1, 1
0.300113125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.303372666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.306786291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.310011000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.313412291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.316531041666667, 0, 1, 1, 1, 1, 1, 1, 1
0.319850541666667, 1, 1, 1, 1, 1, 1, 1, 1
0.322964625000000, 0, 1, 1, 1, 1, 1, 1, 1
0.326275458333333, 1, 1, 1, 1, 1, 1, 1, 1
0.329393208333333, 0, 1, 1, 1, 1, 1, 1, 1
0.332654583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.335749666666667, 0, 1, 1, 1, 1, 1, 1, 1
0.338991625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.342052291666667, 0, 1, 1, 1, 1, 1, 1, 1
0.345280333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.348242708333333, 0, 1, 1, 1, 1, 1, 1, 1
0.351405041666667, 1, 1, 1, 1, 1, 1, 1, 1
0.354379416666667, 0, 1, 1, 1, 1, 1, 1, 1
